<<<<<<< HEAD
en,fr
Sus aims to more accurately represent and better engage urban residents in order to harness the momentum surrounding technologically-based approaches to sustainability for public good.,Sus vise à représenter plus justement et à mieux impliquer les résidents urbains afin d'exploiter le momentum entourant les approches technologiques de la durabilité pour le bien public.
Further resources:,Ressources additionnelles
Active living potential,Potentiel de vie active
Commuter mode switching,Changement de mode de transport
Pedestrian realm,La sphère piétonne
Why a dashboard?,Pourquoi un tableau de bord?
Meet the team,Rencontrez l'équipe
Nature-based solutions,Solutions basées sur la nature
Simulation,Simulation
Built environment,Le cadre bâti
Pedestrian capacity for social distancing (census tracts),Capacité de distanciation sociale dans la voie piétonne (secteur de recensement)
The capacity for pedestrian social distancing is a capacity measurement that determines the percentage of a neighbourhood’s population that can make local trips on foot at the same time while respecting ‘social distancing’ regulations.,La capacit� pi�tonne de distanciation sociale est une unit� de mesure qui d�termine le pourcentage de la population d�un secteur qui peut faire des trajets � pieds simultan�ment tout en respectant les r�glements de distanciation sociale. 
"<p>Using open data from Montreal's open data portal as well as OpenStreetMap, it was possible to calculate the total surface area of sidewalks, neighbourhood parks, and pre-Covid pedestrian streets. Summing these surface areas gets us the neighbourhood's total walkable surface area. It is then possible to calculate how many residents can ‘fit’ into the pedestrian realm while respecting ‘social distancing’ regulations of 2 meters (total walkable surface area divided by the surface area of a circle with a 2-meter radius, that is 12.54 square meters). Finally, we normalize the value by representing it as a percentage of the residential population. Neighbourhoods where less than 100% of the local population can make trips on foot at the same time are above capacity and more at risk of overcrowding from local pedestrian trips. <p>While it is still important to take into account pedestrian flows coming from external neighbourhoods (some data on pedestrian flows obtained from 2016 TrajetMtl data is presented in this research), the measurement’s focus on local pedestrian capacity is especially relevant during a pandemic situation where shelter in place and travel restrictions have generally led to a rise in local trips and a decline in trips from other neighbourhoods.<br><p><i>Module lead author: Samuel Kohn</i>","<p> En utilisant des donn�es ouvertes du portail de donn�es ouvertes de la Ville de Montr�al ainsi que OpenStreetMap, l�aire de surface totale des trottoirs, des parcs de quartiers, et des rues pi�tonnes pre-Covid ont �t� calcul�. La somme de ces aires de surfaces nous permet d�obtenir l�aire de surface totale pi�tonne de chaque quartier. Il est ensuite possible de calculer combien de personnes peuvent marcher simultan�ment dans la sph�re pi�tonne en maintenant une distance de 2 m�tres en chaque personne (aire de surface totale pi�tonne divis�e par l�aire de surface d�un cercle avec un radius de 2 m�tres, soit 12.54 m2). Finalement, le r�sultat peut �tre r�gularis� entres les diff�rents secteurs en le repr�sentant en tant que pourcentage de la population r�sidentielle locale. Un quartier avec moins de 100% de la population r�sidentielle qui peut effectuer des trajets pi�tons au m�me temps est au-del� de sa capacit� � permettre la distanciation sociale et pr�sente un plus grand risque de surpeuplement dans la sph�re pi�tonne. <p>Bien qu�il soit important de prendre en compte les flux pi�tons qui proviennent d�autres secteurs (� noter que des donn�es sur les flux pi�tons pour l�ann�e 2016 obtenues par TrajetMtl sont pr�sent�es dans ce module), la focalisation de cette unit� de mesure sur la capacit� pi�tonne locale est d�autant plus pertinente dans une pand�mie o� les restrictions aux d�placements et les confinements ont g�n�ralement entrain� une augmentation de d�placements locaux et un d�clin de ceux provenant de secteurs externes.<br><p><i>Auteur principal du module: Samuel Kohn</i>"
"Compare the pedestrian capacity for social distancing metric across a variety of other variables, such as walkable access to amenities, income level, immigration, visible minorities, population density, etc.",
"The data shows us that the ability to safely navigate pedestrian space tends to be much lower in DAs with lower incomes as well as DAs with high proportions of visible minorities and immigrants compared to majority white regions of Montreal. While the City’s plans to increase walkable urban space made some improvements to these discrepancies, there is room for improvement. The interactive data within this platform has the potential to support policy-makers towards making strategic decisions with more equitable outcomes. Below is a policy analysis exemplar using two variables: capacity for pedestrian social distancing and walkable access to key amenities.",
"In order to calculate the width of sidewalks in Montreal, we used a spatial dataset published by Montréal Open Data Portal that includes polygons of all sidewalks within the Montreal agglomeration. Using the the object-oriented programming language R, we developed a function which first creates negative buffers inside each sidewalk segment, and then iteratively adjusts the distance of that buffer until the maximum distance is achieved which still produces valid buffer geometry (if the buffer boundaries overlap, the geometry becomes invalid). The outcome is the equivalent of a centreline inside each sidewalk polygon. The last step to determine sidewalk width is to sum the distances between the centreline and both edges of a given sidewalk polygon segment. This process is illustrated below.",
Pedestrian capacity for social distancing (dissemination areas),Capacité de distanciation sociale dans la voie piétonne (aire de diffusion)
Explore sidewalks and parks,Explorez les trottoirs et les parcs
"<ul><li>  The top 3 boroughs that have the highest proportion of people living in census tracts with a low capacity for pedestrian physical distancing were 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>","<ul><li>  Les trois arrondissements ayant la plus grande proportion de personnes vivant dans des secteurs de recensement avec une faible capacité pour une distanciation physique piétonne sont 1) Le Plateau-Mont-Royal (74%), 2) Villeray-Saint-Michel-Parc-Extension (65%) and 3) Montréal Nord (60%).</ul>"
Select your second variable,Choisissez votre deuxième variable
Net Median Income,Revenu médian net
Visible Minority Population Proportion,Minorité visible (proportion de la population)
Immigrant Population Proportion,Immigrant (proportion de la population)
Montreal Covid-19 Expanded Active Transit Corridors,Voies actives et sécuritaires de la Ville de Montréal (Covid-19)
Play with the slider to filter the map,Jouez avec le curseur afin de filtrer et modifier la carte
Explore,Explorez
Did you know?,Saviez-vous?
Housing,Logement
Income,Revenu
Immigration,Immigration
Transportation,Déplacement domicile-travail
borough/city,de l'arrondissement/de la ville
boroughs or cities,des arrondissements ou des villes
census tract,du secteur de recensement
census tracts,des secteurs de recensement
dissemination area,de l'aire de diffusion
dissemination areas,des aires de diffusion
Census tract {dat$name},Secteur de recensement {dat$name}
Dissemination area {dat$name},Aire de diffusion {dat$name}
{dat$name_2} of {place_name},{dat$name_2} de {place_name}
Tenant-occupied (%),Occupé par locataire (%)
Average rent,Loyer moyen
Average property value,Value foncière moyenne
Unaffordable housing (%),Logement inabordable (%)
Unsuitable housing (%),Logement inadéquat (%)
Median household income,Revenu médian des ménages
Income under $50k (%),Revenu inférieur à 50k (%)
Income between $50k-$100k (%),Revenu entre 50k-100k (%)
Income above $100k (%),Revenu supérieur à 100k (%)
Immigrants (%),Immigrants (%)
New immigrants (%),Nouveaux immigrants (%)
Drive to work (%),Conducteur ou passager (%)
Walk or cycle to work (%),À pied ou à vélo (%)
Public transit to work (%),Transport en commun (%)
15 minutes to work (%),Trajet de 15 minutes (%)
15-30 minutes to work (%),Trajet de 15-30 minutes (%)
30-45 minutes to work (%),Trajet de 30-45 minutes (%)
45-60 minutes to work (%),Trajet de 45-60 minutes (%)
----,----
much larger than,beaucoup plus grand que
larger than,plus grand que
almost the same as,presque le même que
smaller than,plus petit que
much smaller than,beaucoup plus petit que
larger,plus grand
smaller,plus petit
strong,fort
poor,faible
moderate,modéré
positive,positive
negative,négative
weak,faible
higher,plus grandes
lower,plus petites
with only a few exceptions,à quelques exceptions près
although with some exceptions,bien qu'avec des exceptions
although with many exceptions,bien qu'avec beaucoup d'exceptions
dramatically different,radicalement différents
substantially different,sensiblement différents
considerably different,modérément différents
"At the {scale_singular} scale, the CanALE index varies from {min_val} to {max_val}, with an average value of {mean_val} and a median value of {median_val}. Two thirds of {scale_plural} have a score between {quant_low} and {quant_high}.","À l'échelle {scale_singular}, l'index AVA-Can varie de {min_val} à {max_val}, avec une valeur moyenne de {mean_val} et une valeur médianne de {median_val}. Deux tiers {scale_plural} ont un score se situant entre {quant_low} et {quant_high}."
"<strong>Kahnawake Mohawk Territory</strong><p>Statistics Canada does not gather the same data for indigenous reserves in the Census as it does for other jurisdictions, so we cannot display findings here.","<strong>Kahnawake (Réserve indienne)</strong><p>Dans le cadre du recensement, Statistique Canada ne recueille pas les mêmes données pour les réservesautochtones que dans les autres juridictions, nous ne pouvons donc pas afficher de résultats ici."
Active living potential: the CanALE index,Potentiel de vie active: l'index AVA-Can
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')} and a CanALE index score of {round(poly_value, 2)}, which is {larger_smaller} the region-wide median of {median_val}.<p>{place_name} has {poor_strong} potential for active living, with a CanALE index score higher than {percentile}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')} et un score d'index AVA-Can de {round(poly_value, 2)}, ce qui est {larger_smaller} la médiane régionale de {median_val}.<p>{place_name} a un potentiel {poor_strong} de vie active, avec un score d'index AVA-Can plus grand que {percentile}% des {scale_plural} dans la région de Montréal."
"<p>{var_explanation}<p>The CanALE index has effectively no correlation ({correlation}) with {var_name} at the {scale_singular} scale.<p>This means that, at the {scale_singular} scale, there is no relationship between the two variables.","<p>{var_explanation}<p>L'index AVA-Can n'a en fait aucune corrélation ({correlation}) avec {var_name} à l'échelle '{scale_singular}'.<p>Cela signifie que, à l'échelle '{scale_singular}', il n'y a pas de relation entre ces deux variables."
"<p>{var_explanation}<p>The CanALE index has a {strong_weak} {pos_neg} correlation ({correlation}) with '{tolower(var_name)}' at the {scale_singular} scale.<p>This means that, in general, {scale_plural} with higher potential for active living tend to have {higher_lower} values for '{tolower(var_name)}', {high_low_disclaimer}.","<p>{var_explanation}<p>L'index AVA-Can a un index de corrélation {strong_weak} et {pos_neg} ({correlation}) avec '{tolower(var_name)}' à l'échelle '{scale_singular}'.<p>Cela signifie qu'en général, les {scale_plural} avec un haut potentiel de vie active tendent à avoir des {higher_lower} valeurs pour '{tolower(var_name)}', {high_low_disclaimer}."
"<strong>{place_heading}</strong><p>{place_name} has a population of {prettyNum(dat$population, ',')}, a CanALE index score of {round(poly_value_1, 2)}, and a '{tolower(var_name)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. {place_name} has a CanALE index score higher than {percentile_left}% of {scale_plural} and a '{tolower(var_name)}' score higher than {percentile_right}% of {scale_plural} in the Montreal region.","<strong>{place_heading}</strong><p>{place_name} a une population de {prettyNum(dat$population, ',')}, un score d'index AVA-Can de {round(poly_value_1, 2)}, et une '{tolower(var_name)}' valeur de {round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. {place_name} a un score d'index AVA-Can plus grand que {percentile_left}% des {scale_plural} et un score '{tolower(var_name)}' plus grand que {percentile_right}% des {scale_plural} dans la région de Montréal."
Hide,En voir moins
Show,Afficher
Perform a Bivariate Analysis,Effectuez une analyse bivariée
Walkable Access to Key Amenities,Accès à pied aux services de base
"Original Plan (May 15, 2020)",Plan initial (15 mai 2020
"Revised Plan (July 25, 2020)",Plan révisé (25 juillet 2020
Choose more variables and explore further,Choisissez d'autres variables et explorez davantage
Population density per square km,Densité de population par kilomètre carré
Pedestrian social distancing capacity,Capacité de distanciation sociale des piétons
Work commutes by car (%),Trajets domicile-travail en voiture (%)
Trajet MTL 2016 data on pedestrian flows,Données Trajet MTL 2016 sur les déplacements des piétons
Capacity for pedestrian social distancing,Capacité de distanciation sociale des piétons
Capacity for pedestrian social distancing (%),Capacité de distanciation sociale des piétons (%)
Capacity of local population to make trips on foot while maintaining 2 meters distance (%),Capacité de la population locale à effectuer des déplacements à pied tout en conservant une distance de 2 mètres (%)
Log of Population density / km2,Log de la densité de population / km2
Pedestrian trips per sqm of walkable space index (0 = average),Indice des déplacements à pied par m² d'espace piétonnier (0 = moyenne)
Clear selection,Effacez sélection
"At the census tract scale, after removing outliers with a population below 500, the capacity for pedestrian social distancing varies from {min_ped_ct}% to {max_ped_ct}%, with an average value of {mean_ped_ct}% and a median value of {median_ped_ct}%. Two thirds of census tracts have a score between {quant_low_ped_ct}% and {quant_high_ped_ct}%. Out of the 532 census tracts, 227 of them have a capacity score below 100%, while 85 of them have a capacity score below 50%.","À l'échelle du secteur de recensement, après avoir éliminé les données aberrantes avec une population en dessous de 500 personnes, la capacité pour la distanciation sociale des piétons varie de {min_ped_ct}% à {max_ped_ct}%, avec une valeur moyenne de {mean_ped_ct} et une valeur médiane de {median_ped_ct}%. Deux tiers des secteurs de recensement ont un score entre {quant_low_ped_ct}% et {quant_high_ped_ct}%. Sur les 532 secteurs de recensement, 227 d'entre eux ont un score de capacité en dessous de 100%, alors que 85 d'entre eux ont un score de capacité en dessous de 50%."
"At the dissemination area scale, after removing outliers with a population below 100, the capacity for pedestrian social distancing varies from {min_da_uni}% to {max_da_uni}%, with an average value of {mean_da_uni}% and a median value of {median_da_uni}%. Two thirds of dissemination areas have a score between {quant_low_da_uni}% and {quant_high_da_uni}%.","À l'échelle de l'aire de diffusion, après avoir éliminé les valeurs aberrantes avec une population en dessous de 100 personnes, la capacité pour la distanciation sociale des piétons varie de {min_da_uni}% à {max_da_uni}%, avec une valeur moyenne de {mean_da_uni}% et une valeur médiane de {median_da_uni}%. Deux tiers des aires de diffusion ont un score entre {quant_low_da_uni}% et {quant_high_da_uni}%."
"The dissemination area {dat_ped_uni$ID} has a population of {prettyNum(dat_ped_uni$population, ',')} and a pedestrian social distancing capacity of {round(poly_value_ped_uni, 2)}%, which is {larger_smaller_ped_uni} the region-wide median of {median_da_uni}%.<p>Dissemination area {dat_ped_uni$ID} offers a {poor_strong_ped_uni} capacity for its residents to practice social distancing in the local pedestrian realm.","L'aire de diffusion {dat_ped_uni$ID} a une population de {prettyNum(dat_ped_uni$population, ',')} et une capacité de distanciation sociale des piétons de {round(poly_value_ped_uni, 2)}%, ce qui est {larger_smaller_ped_uni} que la médiane régionale de {median_da_uni}%.<p>L'aire de diffusion {dat_ped_uni$ID} offre un potentiel {poor_strong_ped_uni} pour ses résidents de pratiquer la distanciation sociale dans les voies piétonnes locales."
"The capacity for pedestrian social distancing metric has effectively no correlation ({correlation_ped}) with {var_name_ped} at the dissemination area scale. <p>This means that, at the dissemination area scale, there is no relationship between the two variables.","La mesure de la capacité pour la distanciation sociale des piétons n'a en fait aucune corrélation ({correlation_ped}) avec '{var_name_ped}' à l'échelle de l'aire de diffusion. <p>Cela signifie que, à l'échelle de l'aire de diffusion, il n'y a pas de relation entre ces deux variables."
"The capacity for pedestrian social distancing metric has a {strong_weak_ped} {pos_neg_ped} correlation ({correlation_ped}) with '{tolower(var_name_ped)}' at the dissemination area scale. <p>This means that, in general, dissemination areas with higher capacities to allow for pedestrian social distancing tend to have {higher_lower_ped} '{tolower(var_name_ped)}' values, {high_low_disclaimer_ped}.","La mesure de la capacité de distanciation sociale des pétions a un coefficient de corrélation {strong_weak_ped} {pos_neg_ped} ({correlation_ped}) avec '{tolower(var_name_ped)}', à l'échelle de l'aire de diffusion. <p>Cela signifie que, en général, les aires de diffusion avec de plus grandes capacités de distanciation sociale des piétons tendent à avoir de {higher_lower_ped} valeurs de '{tolower(var_name_ped)}', {high_low_disclaimer_ped}."
"Dissemination area {dat_ped_biv$ID} has a population of {prettyNum(dat_ped_biv$population, ',')}, a capacity for pedestrian social distancing of {round(poly_value_1, 2)}%, and a '{tolower(var_name_ped)}' value of {round(poly_value_2, 2)}. <p>These two scores are {relative_position}, in relative terms. Dissemination area {dat_ped_biv$ID} has a capacity for pedestrian social distancing higher than {percentile_left}% of dissemination areas and a '{tolower(var_name_ped)}' score higher than {percentile_right}% of dissemination areas in the Montreal region.","L'aire de diffusion {dat_ped_biv$ID} a une population de {prettyNum(dat_ped_biv$population, ',')}, une capacité de distanciation sociale des piétons de {round(poly_value_1, 2)}%, et une valeur '{tolower(var_name_ped)}' de{round(poly_value_2, 2)}. <p>Ces deux scores sont {relative_position}, en termes relatifs. L'aire de diffusion {dat_ped_biv$ID} a une capacité de distanciation sociale des piétons plus grande que {percentile_left}% des aires de diffusion et une valeur '{tolower(var_name_ped)}' plus grand que {percentile_right}% des aires de diffusion de la région de Montréal."
"Sidewalk width in Montreal varies from {min_sidewalk} meters to {max_sidewalk} meters, with an average value of {mean_sidewalk} meters and a median value of {median_sidewalk} meters. Two thirds of Montreal's sidewalks have widths between {quant_low_sidewalk} meters and {quant_high_sidewalk} meters.","La largeur des trottoirs de Montréal varie de {min_sidewalk} mètres à {max_sidewalk} mètres, avec une valeur moyenne de {mean_sidewalk} mètres et une valeur médiane de {median_sidewalk} mètres. Deux tiers des trottoirs montréalais ont une largeur entre {quant_low_sidewalk} mètres et {quant_high_sidewalk} mètres."
Shifting car trips to cycling,Transférez les trajets de voiture en vélo
Share of trips taken by car,Part des trajets effectués en voiture
Average commuting distance,Distance moyenne pour du trajet domicile-travail
Access to cycling infrastructure,Accès aux infrastructures cyclables
"% of trips taken by car, by census tract","% des trajets effectués en voiture, par secteur de recensement"
Modal shift scenarios,Scénarios de transfert modal
Baseline,Base de référence
Distance,Distance
Elevation/time,Élévation/temps
Show baseline,Afficher la base de référence
Cycling distance (km):,Distance parcourue à vélo (km):
Elevation gain (m):,Gain d'élévation (m):
Time ratio:,Ratio de temps:
VKT Reduction,Réduction de KPV
Cycling network,Réseau cycliste
Criteria: Cycling Distance (km),Critère: Distance parcourue à vélo (km)
Potential Cyclable Trips (per day),Trajets cyclistes potentiels (par jour)
VKT Savings (per day),Économies de KPV (par jour)
Criteria: Elevation Gain (m),Critère: Gain d'élévation (m)
Criteria: Time Ratio,Critère: Ratio de temps
Access to Cycling Infrastructure (km/sq.km),Accès aux infrastructures cyclables (km/km2)
Share of Car Trips by Origin (%),Part des trajets en voiture par origine (%)
Average Commuting Distance (km),Distance moyenne du trajet domicile-travail (km)
Access to cycling inf. (km/sq.km),Accès aux infr. cyclables (km/km2)
Share of trips taken by car (%),Part des trajets effectués en voiture (%)
Average commuting distance (km),Distance moyenne du trajet domicile-travail (km)
Cycling infrastructure (km/sq.km) by census tract:,Infrastructure cyclable (km/km2) par secteur de recensement:
"Length of the average commute (km), by census tract:","Distance moyenne du trajet domicile-travail (km), par secteur de recensement :"
"The CanALE dataset (developed by Prof. Nancy Ross and her team) captures four key elements related to active living environments: population density, points of interest, street grid, and proximity of transit service.","The CanALE dataset (developed by Prof. Nancy Ross and her team) captures four key elements related to active living environments: population density, points of interest, street grid, and proximity of transit service."
=======
en,fr
Biodiversity,Biodiversité
Add title as titletextSus_UI(title = 'my title'),Ajouter le titre en tant que titletextSus_UI (title = 'mon titre')
Add text as titletextSus_UI(textAboveSplit = 'short description'),Ajoutez du texte comme titletextSus_UI (textAboveSplit = 'short description'
Add text as titletextSus_UI(textBelowSplit = 'long description'),Ajouter du texte comme titletextSus_UI (textBelowSplit = 'longue description')
Learn more,En savoir plus
Compare,Comparez
SUS Preview,Aperçu du SUS
Why a dashboard? The science behind Sus,Pourquoi un tableau de bord? La science derrière Sus
"The CanALE dataset (developed by Prof. Nancy Ross and her team) captures four key elements related to active living environments: population density, points of interest, street grid, and proximity of transit service.","La base de données AVA-Can (développée par la professeure Nancy Ross et son équipe) saisit quatre éléments clés liés aux environnements de vie active: la densité de population, les points d'intérêt, la grille des rues et la proximité du service de transport en commun."
"<p>A safe and inviting pedestrian realm is not distributed equally across socio-demographic factors. The risks of pedestrian injuries and fatalities are higher in low-income and racialized communities where residents often rely on walking as a daily mode of transport but where the local environment is not necessarily inviting and safe.<p>In addition to evidence pointing towards large discrepancies in the provision of walkable urban space across income and racial lines, concern has been raised with regard to the possible gentrification and displacement impacts of improved pedestrian infrastructure. In other words, who can afford to live in walkable neighbourhoods?<br><p>Further resources:<ul><li><a href= ''>Thomas Herrmann, William Gleckner, Rania A. Wasfi, Benoît Thierry, Yan Kestens and Nancy A. Ross. 2019. 'A pan-Canadian measure of active living environments using open data. Statistics Canada Health Reports, 82-003-X.</a><li><a href = ''>Kevin Manaugh, Linnea Soli, Samuel Kohn, Robin Basalaev-Binder, Ty Tuff, David Wachsmuth. 2020. 'Montreal’s response to COVID-19: An equity analysis of new active transport infrastructure.' Transportation Research Board working paper.</a> <b>(MSSI research)</b></ul><br><p><i>Module lead authors: Robin Basalaev-Binder, Ty Tuff, David Wachsmuth</i>","<p>Une voie piétonne sécuritaire et accueillante n'est pas répartie de manière égale entre les facteurs sociodémographiques. Les risques de blessures et de décès de piétons sont plus élevés dans les communautés racialisées et à faible revenu, où les résidents comptent souvent sur la marche comme mode de transport quotidien, mais où l'environnement local n'est pas nécessairement accueillant et sécuritaire.<p>Outre les éléments indiquant de grandes disparités dans la provision d'un espace piétonnier urbain selon le revenu et le pourcentage de minorités visibles, des préoccupations ont été soulevées concernant les éventuels impacts de l'amélioration des infrastructures piétonnes sur la gentrification et le déplacement. En d'autres termes, qui peut se permettre de vivre dans des quartiers piétonniers?<br><p>Ressources supplémentaires:<ul><li><a href= ''>Thomas Herrmann, William Gleckner, Rania A. Wasfi, Benoît Thierry, Yan Kestens et Nancy A. Ross. 2019. Une mesure pancanadienne fondées sur les données ouvertes de l'accessibilité à la vie active dans les milieux de vie. Rapports sur la santé de Statistique Canada, 82-003-X.</a><li><a href = ''>Kevin Manaugh, Linnea Soli, Samuel Kohn, Robin Basalaev-Binder, Ty Tuff, David Wachsmuth. 2020. «Réponse de Montréal à COVID-19 : Une analyse de l'équité des nouvelles infrastructures de transport actif». Document de travail pour le Transportation Research Board.</a> <b>(MSSI research)</b></ul><br><<p><<i>Auteur(e)s principaux(ales) du module: Robin Basalaev-Binder, Ty Tuff, David Wachsmuth</i>"
"Based on 2016 commuting data, we quantify possible reductions in VMT and GHG by identifying car trips that could be shifted to cycling based on distance, elevation change and other factors.","Basé sur les données relatives aux déplacements domicile-travail en 2016, nous quantifions les réductions possibles de KPV et de GES en identifiant les déplacements en voiture qui pourraient être remplacés par des déplacement en vélo en fonction de la distance, du changement d'altitude et d'autres facteurs."
"<p>The transportation sector is a major contributor to Canada's greenhouse gas (GHG) emissions which are linked to global climate change. Reducing vehicle miles traveled (VMT) over the long term is increasingly recognized as the key to reduce GHG emissions from the transportation sector but has not received as much attention as needed.<p>The primary objective of this study is to investigate the potential for reducing VMT and GHG emissions by shifting short car trips to cycling in Montreal. Based on commuting data from the 2016 Canadian Census, commuting patterns were explored. Two scenarios were introduced to model environmental effects of a modal shift towards cycling based on characteristics of current bicycle trips.<p>The results showed that enhanced cycling commuting can reduce VMT and GHG emissions from car travel. Other mitigation measures are necessary for achieving GHG emissions reduction targets.<br><p><i>Module lead authors: Qiao Zhao, Kevin Manaugh</i>","<p>Le secteur des transports est un contributeur majeur aux émissions de gaz à effet de serre (GES) du Canada, qui sont liées au changement climatique mondial. La réduction des kilomètres parcourus par les véhicules (KPV) sur le long terme est de plus en plus reconnue comme la clé de la réduction des émissions de GES du secteur des transports, mais n'a pas reçu autant d'attention que nécessaire.<p>Le principal objectif de cette étude est d'étudier le potentiel de réduction des KPV et des émissions de GES en déplaçant les courts trajets en voiture par le vélo à Montréal. Deux scénarios ont été introduits pour modéliser les effets environnementaux d'un transfert modal vers le vélo en fonction des caractéristiques des déplacements actuels à vélo.<p>Les résultats ont montré que l'augmentation des déplacements à vélo peut réduire les KPV et les émissions de GES des déplacements en voiture. D'autres mesures de réduction sont nécessaires pour atteindre les objectifs de diminution des émissions de GES.<br><p><i>Auteurs principaux du module: Qiao Zhao, Kevin Manaugh</i>"
The capacity for pedestrian social distancing is a capacity measurement that determines the percentage of a neighbourhood’s population that can make local trips on foot at the same time while respecting ‘social distancing’ regulations.,"La capacité de distanciation sociale des piétons est une mesure de capacité qui détermine le pourcentage de la population d'un quartier qui peut faire des trajets locaux à pied en même temps, tout en respectant les règles de «distanciation sociale»."
