verbatimScientificName,common_names,fr_common_names
Matteuccia struthiopteris,ostrich fern,
Hypena scabra,green cloverworm,
Spilosoma virginica,Virginian tiger moth,
Popillia japonica,Japanese beetle,
Hyla versicolor,chameleon treefrog,
Arctium lappa,great burdock,
Acer platanoides,Norway maple,
Daucus carota,carrot,
Ranunculus acris,tall buttercup,
Xestia c-nigrum,spotted cutworm,
Pinicola enucleator,pine grosbeak,
Leptinotarsa decemlineata,Colorado potato beetle,
Xanthogaleruca luteola,elm leaf beetle,
Lithobates sylvaticus,wood frog,
Silene vulgaris,bladder campion,
Lithobates catesbeianus,American bullfrog,
Phragmites australis,common reed,
Apis mellifera,honey bee,
Anaxyrus americanus,American toad,
Halyomorpha halys,brown marmorated stink bug,
Scilla siberica,Siberian squill,
Luxilus cornutus,common shiner,
Euphorbia cyparissias,cypress spurge,
Acer spicatum,mountain maple,
Populus tremuloides,quaking aspen,
Tilia americana,American linden,
Aplodinotus grunniens,freshwater drum,
Castor canadensis,American beaver,
Coenonympha tullia,common ringlet,
Sympetrum vicinum,autumn meadowhawk,
Condylura cristata,star-nosed mole,
Esox lucius,northern pike,
Coccinella septempunctata,seven-spotted ladybird,
Acalymma vittatum,striped cucumber beetle,
Daktulosphaira vitifoliae,grape phylloxera,
Etheostoma olmstedi,tessallated darter,
Acipenser fulvescens,lake sturgeon,
Otiorhynchus sulcatus,black vine weevil,
Sphecodina abbottii,Abbott's sphinx,
Mephitis mephitis,striped skunk,
Umbra limi,central mudminnow,
Notophthalmus viridescens,eastern newt,
Vulpes vulpes,red fox,
Lithobates clamitans,bronze frog,
Calystegia sepium,hedge bindweed,
Eristalis tenax,drone fly,
Notropis atherinoides,emerald shiner,
Setophaga fusca,Blackburnian warbler,
Falco peregrinus,peregrine falcon,
Hirundo rustica,Barn swallow,
Passerina cyanea,indigo bunting,
Meleagris gallopavo,turkey,
Acanthis flammea,common redpoll,
Setophaga virens,black-throated green warbler,
Setophaga pensylvanica,Chestnut-sided warbler,
Anser caerulescens,Snow goose,
Setophaga striata,blackpoll warbler,
Polistes fuscatus,common paper wasp,
Lucidota atra,black firefly,
Moxostoma anisurum,silver redhorse,
Ipomoea purpurea,common morning-glory,
Juglans nigra,black walnut,
Hippodamia convergens,convergent lady beetle,
Equisetum arvense,field horsetail,
Hypoprepia fucosa,painted lichen moth,
Urtica dioica,great nettle,
Vicia villosa,hairy vetch,
Ilex verticillata,winterberry,
Thymelicus lineola,Essex skipper,
Dolichovespula maculata,bald-faced hornet,
Vanessa atalanta,red admiral,
Microtus pennsylvanicus,meadow vole,
Orgyia leucostigma,white-marked tussock moth,
Lepomis gibbosus,pumpkinseed sunfish,
Anguilla rostrata,American eel,
Cepaea nemoralis,banded wood snail,
Melanerpes erythrocephalus,red-headed woodpecker,
Chrysemys picta marginata,midland painted turtle,
Aythya valisineria,canvasback,
Pieris rapae,cabbage white,
Hyphantria cunea,fall webworm moth,
Malacosoma americana,eastern tent caterpillar,
Amanita muscaria,fly agaric,
Tetraopes tetrophthalmus,red milkweed beetle,
Euchaetes egle,milkweed tussock moth,
Melanoplus bivittatus,two-striped grasshopper,
Sander vitreus,walleye,
Speyeria cybele,great spangled fritillary,
Lumbricus terrestris,common earthworm,
Quercus rubra,northern red oak,
Neovison vison,American mink,
Vireo solitarius,solitary vireo,
Barbarea vulgaris,winter cress,
Plethodon cinereus,red-backed salamander,
Gleditsia triacanthos,honey locust,
Carassius auratus,goldfish,
Prunella vulgaris,self-heal,
Trichodezia albovittata,white-striped black,
Aegopodium podagraria,goutweed,
Linaria vulgaris,common toadflax,
Cichorium intybus,chicory,
Carpinus caroliniana,American hornbeam,
Lambdina fiscellaria,hemlock looper,
Hemaris diffinis,snowberry clearwing,
Hyles gallii,bedstraw hawk-moth,
Eurosta solidaginis,goldenrod gall fly,
Ctenucha virginica,Virginia ctenucha,
Acer rubrum,red maple,
Botaurus lentiginosus,american bittern,
Sialia sialis,eastern bluebird,
Seiurus aurocapilla,ovenbird,
Circus hudsonius,American harrier,
Spizella pallida,clay-colored sparrow,
Anser albifrons,White-fronted goose,
Strix varia,Northern barred owl,
Gavia stellata,red-throated loon,
Piranga olivacea,scarlet tanager,
Bonasa umbellus,ruffed grouse,
Troglodytes hiemalis,Eastern winter wren,
Asio flammeus,short-eared owl,
Bubo virginianus,great horned owl,
Anthus rubescens,American pipit,
Haliaeetus leucocephalus,bald eagle,
Calidris pusilla,semipalmated sandpiper,
Setophaga pinus,pine warbler,
Bucephala islandica,Barrow's goldeneye,
Asio otus,long-eared owl,
Dolichonyx oryzivorus,bobolink,
Buteo lagopus,rough-legged hawk,
Vireo philadelphicus,Philadelphia vireo,
Aegolius acadicus,northern saw-whet owl,
Tringa flavipes,Lesser yellowlegs,
TRICHOPTERA,caddisflies,
Chelydra serpentina,Common snapping turtle,
Pseudacris crucifer,spring peeper,
Sagittaria latifolia,wapato,
Solanum nigrum,black nightshade,
Sorex palustris,American water shrew,
Ennomos magnaria,maple spanworm,
Diabrotica barberi,northern corn rootworm,
Ixodes scapularis,black-legged tick,
Forficula auricularia,European earwig,
Boisea trivittata,boxelder bug,
Halysidota tessellaris,banded tussock moth,
Oenothera biennis,German evening primrose,
Labidesthes sicculus,brook silverside,
Ixobrychus exilis,least bittern,
Percina caprodes,logperch,
Calidris minutilla,least sandpiper,
Calidris melanotos,pectoral sandpiper,
Mimus polyglottos,Northern mockingbird,
Calcarius lapponicus,Lapland longspur,
Vireo griseus,white-eyed vireo,
Clangula hyemalis,long-tailed duck,
Chordeiles minor,Common nighthawk,
Empidonax traillii,willow flycatcher,
Stelgidopteryx serripennis,northern rough-winged swallow,
Fulica americana,American coot,
Antigone canadensis,Sandhill crane,
Micropterus dolomieu,smallmouth bass,
Picea abies,Norway spruce,
Helianthus annuus,common sunflower,
Ctenolepisma longicaudata,long-tailed silverfish,
Fragaria vesca,wild strawberry,
Antheraea polyphemus,polyphemus moth,
Noctua pronuba,large yellow underwing,
Ctenolepisma lineata,four-lined silverfish,
Esox masquinongy,muskellunge,
Cypripedium acaule,pink lady's slipper,
Geothlypis philadelphia,mourning warbler,
Canis latrans,coyote,
Ondatra zibethicus,muskrat,
Melanitta americana,American black scoter,
Adalia bipunctata,two-spotted ladybird beetle,
Hyalophora cecropia,cecropia moth,
Graptemys geographica,map turtle,
Picea pungens,Colorado spruce,
Semotilus corporalis,fallfish,
Carthamus tinctorius,safflower,
Hiodon tergisus,mooneye,
Lepomis macrochirus,bluegill,
Paonias excaecata,blinded sphinx,
Ambystoma laterale,blue-spotted salamander,
Picea glauca,white spruce,
Catostomus commersonii,white sucker,
Aglais io,European peacock,
Ameiurus nebulosus,brown bullhead,
Acronicta impressa,willow dagger moth,
Aleuria aurantia,orange peel mushroom,
Melanitta perspicillata,surf scoter,
Branta hutchinsii,cackling goose,
Nymphalis l-album,Compton tortoiseshell,
Phleum pratense,timothy grass,
Cucumis sativus,cucumber,
Syringa vulgaris,common lilac,
Miscanthus sinensis,eulalia,
Moxostoma macrolepidotum,shorthead redhorse,
Asterocampa celtis,hackberry emperor,
Larix laricina,tamarack,
Anax junius,common green darner,
Macaria pustularia,lesser maple spanworm,
Anthidium manicatum,wool carder bee,
Cymbopogon citratus,lemon grass,
Plagiodera versicolora,willow leaf beetle,
Amphicarpaea bracteata,hog peanut,
Ostrya virginiana,American hop-hornbeam,
Ginkgo biloba,maidenhair tree,
Ipomoea batatas,sweet potato,
Psyllobora vigintimaculata,twenty-spotted lady beetle,
Lygus lineolaris,tarnished plant bug,
Banasa dimidiata,red-backed stink bug,
Plantago major,common plantain,
Hemaris thysbe,clearwing hummingbird moth,
Elaeagnus angustifolia,Russian olive,
Schinia florida,primrose moth,
Fraxinus americana,white ash,
Anethum graveolens,dill,
Pastinaca sativa,parsnip,
Pinus sylvestris,Scots pine,
Tremex columba,pigeon tremex,
Fundulus diaphanus,banded killifish,
Ambrosia artemisiifolia,common ragweed,
Ajuga reptans,bugle,
Enallagma civile,civil bluet,
Dactylis glomerata,orchard grass,
Phyllodesma americana,lappet moth,
Pimephales notatus,bluntnose minnow,
Dendrocygna autumnalis,black-bellied whistling-duck,
Cucullia convexipennis,brown-hooded owlet,
Lucilia sericata,common green bottle fly,
Polygonia progne,gray comma,
Megachile rotundata,alfalfa leafcutting bee,
Ceratomia undulosa,waved sphinx,
Agrilus planipennis,emerald ash borer,
Elliptio complanata,eastern elliptio,
Culaea inconstans,brook stickleback,
Mus musculus,house mouse,
Notropis volucellus,mimic shiner,
Tsuga canadensis,Canada hemlock,
Cleonis pigra,sluggish weevil,
Armadillidium vulgare,common pillbug,
Streptopelia roseogrisea,African collared-dove,
Pholcus phalangioides,longbodied cellar spider,
Capsella bursa-pastoris,shepherd's purse,
Cygnus olor,mute swan,
Abutilon theophrasti,China jute,
Sphinx chersis,great ash sphinx,
Cyprinus carpio,common carp,
Necrophila americana,American carrion beetle,
Humulus lupulus,European hop,
Nepeta cataria,catnip,
Setophaga coronata coronata,myrtle warbler,
Euschistus servus,brown stink bug,
Sorex cinereus,cinereus shrew,
Chrysopa oculata,golden-eye lacewing,
Rheum rhabarbarum,garden rhubarb,
Panicum capillare,witchgrass,
Gymnocladus dioicus,Kentucky coffee tree,
Lepisosteus osseus,longnose gar,
Populus alba,white poplar,
Limenitis archippus,viceroy,
Crataegus crus-galli,cockspur hawthorn,
Falco rusticolus,gyrfalcon,
Neogobius melanostomus,round goby,
Deidamia inscriptum,lettered sphinx,
Melanoplus femurrubrum,red-legged grasshopper,
Allagrapha aerea,unspotted looper,
Phytolacca americana,American pokeweed,
Choristoneura rosaceana,oblique banded leafroller,
Pomoxis nigromaculatus,black crappie,
Crioceris duodecimpunctata,spotted asparagus beetle,
Vespula maculifrons,eastern yellowjacket,
Notropis hudsonius,spottail shiner,
Quercus alba,white oak,
Alopochen aegyptiaca,Egyptian goose,
Arctia caja,garden tiger moth,
Sporobolus michauxianus,prairie cordgrass,
Dermestes lardarius,bacon beetle,
Lepyronia quadrangularis,diamond-backed spittlebug,
Tinca tinca,tench,
Libellula luctuosa,widow skimmer,
Lampropeltis triangulum,milk snake,
Corydalus cornutus,eastern dobsonfly,
Eptesicus fuscus,big brown bat,
Histrionicus histrionicus,harlequin duck,
Aythya americana,redhead,
Accipiter gentilis,Northern goshawk,
Spizella pusilla,field sparrow,
Eremophila alpestris,horned lark,
Polygonatum biflorum,small Solomon's seal,
Lophocampa maculata,spotted tussock moth,
Sitophilus oryzae,rice weevil,
Prunus serotina,black cherry,
Malus domestica,apple,
Ictalurus punctatus,channel catfish,
Sterna paradisaea,arctic tern,
Phalaropus lobatus,red-necked phalarope,
Pelecanus erythrorhynchos,American white pelican,
Megaptera novaeangliae,humpback whale,
Sander canadensis,sauger,
Morone americana,white perch,
Syringa vulgaris L.,common lilac,
Sorbus aucuparia L.,rowan,
Solanum lycopersicum L.,tomato,
Humulus lupulus L.,European hop,
Prunella vulgaris L.,self-heal,
Helianthus annuus L.,common sunflower,
Urtica dioica L.,great nettle,
Phytolacca americana L.,American pokeweed,
Quercus rubra L.,northern red oak,
Cichorium intybus L.,chicory,
Papaver somniferum L.,opium poppy,
Populus tremuloides Michx.,quaking aspen,
Antirrhinum majus L.,snapdragon,
Cypripedium acaule Aiton,pink lady's slipper,
Fragaria vesca L.,wild strawberry,
Saponaria officinalis L.,common soapwort,
Nigella damascena L.,love-in-a-mist,
Euphorbia cyparissias L.,cypress spurge,
Sanguinaria canadensis L.,red puccoon,
Prunus serotina Ehrh.,black cherry,
Lupinus polyphyllus Lindl.,large-leaved lupine,
Fagus grandifolia Ehrh.,American beech,
Ajuga reptans L.,bugle,
Acer rubrum L.,red maple,
Melissa officinalis L.,common balm,
Phleum pratense L.,timothy grass,
Alcea rosea L.,hollyhock,
Dactylis glomerata L.,orchard grass,
Prunus domestica L.,plum,
Pinus strobus L.,Eastern white pine,
Amphipyra pyramidoides,copper underwing,
Caulophyllum thalictroides,blue cohosh,
Huperzia lucidula,shining club moss,
Oxyura jamaicensis,ruddy duck,
Parkesia motacilla,Lousiana waterthrush,
Calidris alpina,dunlin,
Anser rossii,Ross' goose,
Coccyzus erythropthalmus,black-billec cuckoo,
Egretta caerulea,Little blue heron,
Oncopeltus fasciatus,milkweed bug,
Glaucopsyche lygdamus,silvery blue,
Cycnia tenera,delicate cyncia,
Brassica napus,rape,
Mentha spicata,spearmint,
Equisetum telmateia,giant horsetail,
Plantago lanceolata,narrow-leaved plantain,
Tilia americana L.,American linden,
Salvia officinalis L.,garden sage,
Ambrosia trifida L.,giant ragweed,
Fagopyrum esculentum Moench,common buckwheat,
Nepeta cataria L.,catnip,
Rumex obtusifolius L.,bitter dock,
Mentha × piperita L.,peppermint,
Cucumis melo,muskmelon,
Diadophis punctatus,Ringneck snake,
Phalacrocorax carbo,great cormorant,
Notemigonus crysoleucas,golden shiner,
Plutella xylostella,diamondback moth,
Tropaeolum majus,nasturtium,
Felis catus,domestic cat,
Protonotaria citrea,Prothonotary warbler,
Limnodromus griseus,shortbilled dowitcher,
Setophaga citrina,hooded warbler,
Mareca penelope,Eurasian wigeon,
Vermivora chrysoptera,Golden-winged warbler,
Aquila chrysaetos,golden eagle,
Calidris fuscicollis,white-rumped sandpiper,
Arenaria interpres,ruddy turnstone,
Anser brachyrhynchus,Pink-footed goose,
Leucophaeus atricilla,Laughing gull,
Calidris canutus,red knot,
Setophaga discolor,prairie warbler,
Setophaga dominica,yellow-throated warbler,
Rissa tridactyla,black-legged kittiwake,
Phalaropus tricolor,Wilson's phalarope,
Oporornis agilis,Connecticut warbler,
Alcea rosea,hollyhock,
Helmitheros vermivorum,worm-eating warbler,
Iris × germanica,flag,
Lepus americanus,snowshoe hare,
Acheta domesticus,house cricket,
Fagus sylvatica,European beech,
Cyprinella spiloptera,spotfin shiner,
Potamogeton crispus,curly-leaf pondweed,
Sympetrum danae,black darter,
Pheosia rimosa,false hornworm,
Aeshna umbrosa,shadow darner,
Synanthedon exitiosa,peach tree borer,
Glischrochilus quadrisignatus,four-spotted sap beetle,
Amia calva,bowfin,
Anasa tristis,squash bug,
Panthea furcilla,tufted white pine caterpillar,
Calopteryx maculata,black-wing damselfly,
Vespinae,hornets and yellowjackets,
Luffa aegyptiaca,smooth loofah,
Silene noctiflora,night-flowering catchfly,
Micropterus salmoides,largemouth bass,
Vanessa virginiensis,American painted lady,
Alkekengi officinarum,Japanese lantern,
Tetracis cachexiata,white slant-line,
Melanchra adjuncta,hitched arches,
Sorbus,mountain ashes,
Ulmus americana L.,American elm,
Arctium lappa L.,great burdock,
Arabis alpina L.,gray rockcress,
Tragopogon porrifolius L.,salsify,
Mentha spicata L.,spearmint,
Sagittaria latifolia Willd.,wapato,
Antirrhinum majus,snapdragon,
Marathyssa inficita,dark marathyssa,
Pachysphinx modesta,big poplar sphinx,
Chortophaga viridifasciata,green-striped grasshopper,
Saperda vestita,linden borer,
Euphorbia pulcherrima,poinsettia,
Mirabilis jalapa,garden four-o'clock,
Merhynchites bicolor,rose curculio,
Apis mellifera ligustica,common honey bee,
Synanthedon scitula,dogwood borer,
Apamea devastator,glassy cutworm,
Photinus pyralis,common eastern firefly,
Dennstaedtia punctilobula,scented hay fern,
Cimex lectularius,bed bug,
Pimephales promelas,fathead minnow,
Necturus maculosus,mudpuppy,
Byturus unicolor,raspberry fruitworm,
Barbarea vulgaris R.Br.,winter cress,
Datura stramonium,jimsonweed,
Bromus inermis,smooth brome grass,
Origanum vulgare,oregano,
Schinia arcigera,arcigera flower moth,
Betula pendula,European white birch,
Anticarsia gemmatalis,velvetbean caterpillar,
Oecanthus nigricornis,black-horned tree cricket,
Cynodon dactylon,Bermuda grass,
Stomoxys calcitrans,stable fly,
Nedra ramosula,gray half-spot,
Lupinus polyphyllus,large-leaved lupine,
Latrodectus hesperus,western black widow,
Epifagus virginiana,beechdrops,
Linum usitatissimum L.,flax,
Parnassia palustris L.,bog stars,
Morus bassanus,northern gannet,
Alca torda,razorbill,
Piranga rubra,summer tanager,
Rattus norvegicus,Norway rat,
Taeniopygia guttata,zebra finch,
Blatta orientalis,oriental cockroach,
Blattella germanica,German cockroach,
Oryzaephilus surinamensis,saw-toothed grain beetle,
Lepomis peltastes,northern sunfish,
Notropis heterodon,blackchin shiner,
Libytheana carinenta,southern snout butterfly,
Musca domestica,house fly,
Etheostoma flabellare,fantail darter,
Cucurbita ficifolia,figleaf gourd,
Euclea delphinii,spiny oak slug,
Ligustrum vulgare,common privet,
Automeris io,Io moth,
Crioceris asparagi,common asparagus beetle,
Alces alces,Eurasian elk,
Streptopus lanceolatus,rose mandarin,
Chauliodes pectinicornis,summer fishfly,
Pyganodon grandis,giant floater mussel,
Didelphis virginiana,North American opossum,
Eurycea bislineata,two-lined salamander,
Poa pratensis,Kentucky bluegrass,
Asparagus officinalis L.,garden asparagus,
Picoides villosus,Hairy woodpecker,
Accipitriformes,hawks and eagles,
Somateria spectabilis,King Eider,
Perdix perdix,grey partridge,
Phasianus colchicus,Ring-necked pheasant,
Bubulcus ibis,cattle egret,
Lota lota,burbot,
Urocyon cinereoargenteus,gray fox,
Agrotis ipsilon,black cutworm moth,
Caenurgina crassiuscula,clover looper,
Brassica rapa,field mustard,
Catocala cerogama,yellowbanded underwing,
Melissa officinalis,common balm,
Colias eurytheme,orange sulphur,
Alosa sapidissima,American shad,
Aquarius remigis,common water strider,
Saucrobotys futilalis,dogbane pyralid moth,
Pseudacris maculata,boreal chorus frog,
Trachemys scripta,red-eared slider turtle,
Chrysochus auratus,dogbane beetle,
Lontra canadensis,Northern American river otter,
Anthrenus verbasci,variegated carpet beetle,
Arctia parthenos,St. Lawrence tiger moth,
Adela purpurea,willow fairy moth,
Ascalapha odorata,black witch,
Carduelis carduelis,Eurasian goldfinch,
Zygogramma suturalis,ragweed leaf beetle,
Enallagma ebrium,common bluet,
